iter	MAE	RMSE
0	19.87016128	44.11749826
1	19.58375359	43.69246457
2	19.30535592	43.29730028
3	19.06145199	42.90453337
4	18.83543075	42.54900962
5	18.59932518	42.1936427
6	18.39289147	41.86950549
7	18.20528588	41.54218213
8	18.02294354	41.23015347
9	17.85355698	40.92043739
10	17.70186358	40.62825784
11	17.55776462	40.34694702
12	17.41602218	40.07040905
13	17.27977265	39.80307434
14	17.16517789	39.54629904
15	17.05035631	39.31806432
16	16.9393582	39.08258813
17	16.81620956	38.87462096
18	16.70566962	38.66537831
19	16.60852628	38.46485474
20	16.53049655	38.27053747
21	16.45451284	38.07883682
22	16.39037619	37.90893154
23	16.32447151	37.71948051
24	16.26065437	37.56174079
25	16.187023	37.38313253
26	16.12235393	37.22946747
27	16.08479218	37.08619288
28	16.02732379	36.94798329
29	15.98396995	36.7990392
30	15.93084032	36.66135846
31	15.88723047	36.51857081
32	15.83825428	36.39488314
33	15.8025425	36.27823751
34	15.76928341	36.15120906
35	15.7337602	36.02701095
36	15.70911058	35.90581739
37	15.67982635	35.80731252
38	15.65643632	35.69821118
39	15.63204821	35.58529855
40	15.59800877	35.5117316
41	15.57663135	35.42342787
42	15.56007973	35.34188798
43	15.53443795	35.26397144
44	15.50873754	35.18517425
45	15.48668627	35.10426553
46	15.47163639	35.03866408
47	15.45374267	34.95178663
48	15.44083786	34.89003214
49	15.41675366	34.81680287
50	15.40488303	34.77362253
51	15.38251515	34.69939453
52	15.36945544	34.63261164
53	15.33949127	34.54290416
54	15.30140319	34.4773912
55	15.2837583	34.41659972
56	15.26914194	34.36224365
57	15.24862067	34.30435438
58	15.24230234	34.25752989
59	15.22783114	34.20495086
60	15.22237802	34.12573396
61	15.21350246	34.08752085
62	15.20439424	34.05138567
63	15.19985119	34.01159412
64	15.18773834	33.93506445
65	15.17180141	33.84860775
66	15.15874614	33.77789181
67	15.14514872	33.73370553
68	15.13603094	33.66668428
69	15.10408443	33.59497926
70	15.09877488	33.55337412
71	15.08552696	33.48103701
72	15.07975873	33.43781131
73	15.07337446	33.37846748
74	15.06856744	33.33392423
75	15.04603778	33.25767372
76	15.01335301	33.19084244
77	14.99854561	33.1425711
78	14.99267809	33.10460786
79	14.97531945	33.04137572
80	14.97207101	33.02063786
81	14.96039837	32.95780888
82	14.95704495	32.93255046
83	14.95652354	32.89578494
84	14.94266903	32.86666277
85	14.93248615	32.82610973
86	14.93297302	32.80731003
87	14.93769341	32.79719043
88	14.93159479	32.77003796
89	14.92519596	32.7214284
90	14.9291765	32.70722306
91	14.92747361	32.68749576
92	14.92913658	32.67203374
93	14.92760818	32.65638292
94	14.92911914	32.6415524
95	14.9267796	32.62647478
96	14.92511842	32.60780484
97	14.91855325	32.55878816
98	14.91859148	32.55315666
99	14.91707489	32.5381311
100	14.92108265	32.52208885
101	14.92104332	32.51663385
102	14.91343554	32.49165451
103	14.899708	32.44092084
104	14.89645655	32.41811873
105	14.89819147	32.40401151
106	14.8981453	32.3987529
107	14.88784158	32.36742495
108	14.88812266	32.35788104
109	14.89315361	32.35109073
110	14.87416993	32.31538947
111	14.8741995	32.30252089
112	14.8744427	32.27556972
113	14.87001235	32.23966523
114	14.85468118	32.20449089
115	14.85602842	32.19452641
116	14.85528093	32.18770625
117	14.84138176	32.15626993
118	14.84125056	32.1404731
119	14.82073024	32.0828984
120	14.82064277	32.07821556
121	14.80356151	32.02611989
122	14.79674648	31.99930195
123	14.79411107	31.97314861
124	14.77341045	31.93560643
125	14.76079721	31.88137568
126	14.74466146	31.84258907
127	14.74442144	31.83655751
128	14.72856366	31.78143256
129	14.71308633	31.7428485
130	14.71294541	31.73702968
131	14.70172271	31.70574346
132	14.6938009	31.66876173
133	14.67584455	31.62382286
134	14.67567238	31.61812917
135	14.67559006	31.61390837
136	14.67570692	31.6107875
137	14.66061323	31.5852333
138	14.64723303	31.55788597
139	14.62775439	31.52381552
140	14.61779608	31.49694172
141	14.61727291	31.47723062
142	14.61580314	31.4709493
143	14.61554313	31.46557583
144	14.60767727	31.44210498
145	14.60756859	31.43825126
146	14.60739775	31.43430984
147	14.60730576	31.43055201
148	14.5957177	31.39382711
149	14.59559037	31.39009403
150	14.59356128	31.3725504
151	14.59342465	31.36875626
152	14.59145951	31.34927563
153	14.59003127	31.33431849
154	14.56466095	31.29819383
155	14.54582318	31.25633196
156	14.54568613	31.25162906
157	14.54557944	31.24812274
158	14.5422606	31.23319709
159	14.54205832	31.22940864
160	14.54172264	31.22448024
161	14.51989269	31.19913398
162	14.52271163	31.19514752
163	14.50866496	31.14652531
164	14.49810089	31.12547352
165	14.48488538	31.1044836
166	14.48476382	31.10120914
167	14.48522101	31.09781822
168	14.48513503	31.09463383
169	14.4849879	31.09133049
170	14.45945653	31.05406043
171	14.45794814	31.03904515
172	14.45800018	31.0366743
173	14.44902245	31.01326865
174	14.42899036	30.97986129
175	14.42804847	30.97093146
176	14.42883381	30.96763737
177	14.4287267	30.9645669
178	14.42788273	30.95109133
179	14.42779963	30.9481882
180	14.42770106	30.94534251
181	14.427795	30.94235377
182	14.42739268	30.93881459
183	14.42733491	30.93604545
184	14.42572498	30.92588785
185	14.42561211	30.92311458
186	14.42442678	30.91061749
187	14.42452905	30.90866849
188	14.41684764	30.89432304
189	14.41719176	30.88759419
190	14.41828589	30.88090763
191	14.41662012	30.86912556
192	14.40914898	30.84919554
193	14.39882473	30.8169236
194	14.39395973	30.80138362
195	14.39382039	30.79339461
196	14.38089378	30.75689631
197	14.36566468	30.72837758
198	14.35264257	30.69230103
199	14.35153002	30.67940596
200	14.35237513	30.67468934
201	14.35228591	30.67229347
202	14.3401741	30.65760502
203	14.33465585	30.63258458
204	14.32140222	30.60643489
205	14.32201562	30.60403263
206	14.31921189	30.59220817
207	14.30918416	30.56905825
208	14.30958541	30.56011556
209	14.29794317	30.54293593
210	14.29762823	30.5360869
211	14.29680884	30.52648563
212	14.29438589	30.51460911
213	14.29466747	30.511125
214	14.28675399	30.48421385
215	14.27254159	30.44684432
216	14.26334632	30.41747198
217	14.25651368	30.40089459
218	14.25691378	30.39639293
219	14.24997099	30.37660258
220	14.24984579	30.37446169
221	14.23049249	30.33474014
222	14.22160542	30.31472113
223	14.22127299	30.30948453
224	14.22160948	30.30745909
225	14.22021188	30.30491699
226	14.20925281	30.28252014
227	14.20248022	30.26065481
228	14.20246683	30.25866067
229	14.19868578	30.24481922
230	14.19842453	30.23483351
231	14.1886746	30.21670416
232	14.18314402	30.20115006
233	14.16817679	30.18195537
234	14.16675446	30.17565632
235	14.15326851	30.15833804
236	14.15293544	30.15189148
237	14.14172491	30.13192479
238	14.14219656	30.12686771
239	14.13164514	30.10421268
240	14.13182939	30.10233359
241	14.13154296	30.09590702
242	14.13209952	30.09008679
243	14.13076107	30.08237625
244	14.10883274	30.03629985
245	14.10475563	30.01860949
246	14.10337101	30.01251737
247	14.09478043	29.99739088
248	14.09260928	29.98675449
249	14.0917623	29.98397417
