iter	Passed	Remaining
0	68	103316
1	84	63172
2	94	47165
3	112	41922
4	119	35822
5	128	32074
6	137	29274
7	145	27134
8	154	25514
9	162	24209
10	171	23154
11	185	22946
12	194	22192
13	233	24794
14	244	24238
15	254	23602
16	262	22889
17	270	22243
18	278	21701
19	286	21203
20	296	20894
21	311	20950
22	324	20861
23	340	20947
24	362	21393
25	376	21361
26	402	21984
27	420	22104
28	458	23278
29	477	23421
30	494	23426
31	508	23320
32	530	23589
33	543	23449
34	554	23189
35	569	23174
36	583	23052
37	592	22812
38	605	22668
39	616	22508
40	627	22330
41	638	22172
42	650	22042
43	665	22029
44	676	21864
45	690	21841
46	703	21751
47	714	21616
48	724	21468
49	735	21337
50	745	21175
51	755	21043
52	766	20925
53	776	20782
54	786	20659
55	795	20509
56	805	20392
57	814	20251
58	824	20140
59	836	20085
60	849	20041
61	860	19948
62	869	19828
63	881	19783
64	891	19679
65	902	19611
66	911	19496
67	921	19404
68	931	19320
69	942	19262
70	951	19145
71	962	19082
72	971	18985
73	980	18900
74	990	18824
75	1000	18739
76	1010	18672
77	1028	18749
78	1036	18650
79	1044	18547
80	1055	18484
81	1064	18412
82	1073	18331
83	1082	18249
84	1089	18144
85	1102	18133
86	1116	18128
87	1122	18015
88	1146	18181
89	1168	18300
90	1182	18314
91	1207	18474
92	1218	18432
93	1231	18421
94	1244	18398
95	1274	18642
96	1288	18632
97	1310	18741
98	1315	18620
99	1337	18731
100	1360	18839
101	1366	18727
102	1396	18944
103	1418	19038
104	1428	18980
105	1453	19108
106	1457	18974
107	1477	19036
108	1506	19225
109	1511	19097
110	1519	19017
111	1528	18938
112	1539	18891
113	1559	18960
114	1570	18911
115	1582	18878
116	1590	18795
117	1602	18762
118	1613	18723
119	1625	18698
120	1631	18595
121	1642	18550
122	1658	18567
123	1671	18543
124	1687	18565
125	1707	18621
126	1727	18672
127	1740	18661
128	1755	18658
129	1771	18671
130	1782	18625
131	1795	18603
132	1807	18577
133	1819	18546
134	1826	18472
135	1831	18365
136	1835	18260
137	1847	18230
138	1863	18245
139	1880	18267
140	1891	18227
141	1906	18235
