journey_id,train_no,date,route_id,station_sequence,station_code,station_name,distance,previous_station,previous_distance,section_distance,delay,previous_delay,delay_change,journey_progress,total_stations,day_of_week,is_weekend,month,source_file
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,0,NDLS,NEW DELHI,,,,,0.0,,,0.0,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,1,CNB,KANPUR CENTRAL,,NDLS,,,4.0,0.0,4.0,0.14285714285714285,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,2,DDU,PT DEEN DAYAL UPADHYAY JN,,CNB,,,0.0,4.0,-4.0,0.2857142857142857,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,3,GAYA,GAYA JN,,DDU,,,13.0,0.0,13.0,0.42857142857142855,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,4,DHN,DHANBAD JN,,GAYA,,,2.0,13.0,-11.0,0.5714285714285714,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,5,ASN,ASANSOL JN,,DHN,,,20.0,2.0,18.0,0.7142857142857143,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,6,DGR,DURGAPUR,,ASN,,,22.0,20.0,2.0,0.8571428571428571,8,4,0,9,12314_running_history.csv
12314_20250905,12314,2025-09-05,12314_NDLS_SDAH,7,SDAH,SEALDAH,,DGR,,,4.0,22.0,-18.0,1.0,8,4,0,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,0,NDLS,NEW DELHI,,,,,2.0,,,0.0,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,1,CNB,KANPUR CENTRAL,,NDLS,,,16.0,2.0,14.0,0.14285714285714285,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,2,DDU,PT DEEN DAYAL UPADHYAY JN,,CNB,,,0.0,16.0,-16.0,0.2857142857142857,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,3,GAYA,GAYA JN,,DDU,,,7.0,0.0,7.0,0.42857142857142855,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,4,DHN,DHANBAD JN,,GAYA,,,1.0,7.0,-6.0,0.5714285714285714,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,5,ASN,ASANSOL JN,,DHN,,,18.0,1.0,17.0,0.7142857142857143,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,6,DGR,DURGAPUR,,ASN,,,24.0,18.0,6.0,0.8571428571428571,8,5,1,9,12314_running_history.csv
12314_20250906,12314,2025-09-06,12314_NDLS_SDAH,7,SDAH,SEALDAH,,DGR,,,-13.0,24.0,-37.0,1.0,8,5,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,0,NDLS,NEW DELHI,,,,,0.0,,,0.0,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,1,CNB,KANPUR CENTRAL,,NDLS,,,12.0,0.0,12.0,0.14285714285714285,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,2,DDU,PT DEEN DAYAL UPADHYAY JN,,CNB,,,0.0,12.0,-12.0,0.2857142857142857,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,3,GAYA,GAYA JN,,DDU,,,10.0,0.0,10.0,0.42857142857142855,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,4,DHN,DHANBAD JN,,GAYA,,,0.0,10.0,-10.0,0.5714285714285714,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,5,ASN,ASANSOL JN,,DHN,,,22.0,0.0,22.0,0.7142857142857143,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,6,DGR,DURGAPUR,,ASN,,,22.0,22.0,0.0,0.8571428571428571,8,6,1,9,12314_running_history.csv
12314_20250907,12314,2025-09-07,12314_NDLS_SDAH,7,SDAH,SEALDAH,,DGR,,,6.0,22.0,-16.0,1.0,8,6,1,9,12314_running_history.csv
12314_20250908,12314,2025-09-08,12314_NDLS_SDAH,0,NDLS,NEW DELHI,,,,,1.0,,,0.0,8,0,0,9,12314_running_history.csv
12314_20250908,12314,2025-09-08,12314_NDLS_SDAH,1,CNB,KANPUR CENTRAL,,NDLS,,,10.0,1.0,9.0,0.14285714285714285,8,0,0,9,12314_running_history.csv
12314_20250908,12314,2025-09-08,12314_NDLS_SDAH,2,DDU,PT DEEN DAYAL UPADHYAY JN,,CNB,,,7.0,10.0,-3.0,0.2857142857142857,8,0,0,9,12314_running_history.csv
12314_20250908,12314,2025-09-08,12314_NDLS_SDAH,3,GAYA,GAYA JN,,DDU,,,18.0,7.0,11.0,0.42857142857142855,8,0,0,9,12314_running_history.csv
12314_20250908,12314,2025-09-08,12314_NDLS_SDAH,4,DHN,DHANBAD JN,,GAYA,,,5.0,18.0,-13.0,0.5714285714285714,8,0,0,9,12314_running_history.csv
