station_code,station_name,observations,mean,median,std,min,max
PNP,PANIPAT JN,157,194.06,174.0,129.66,25.0,547.0
SGO,SAUGOR,157,187.08,160.0,88.79,6.0,543.0
LDH,LUDHIANA JN,157,182.48,161.0,137.49,0.0,632.0
KYE,KHURAI,157,181.14,152.0,88.24,33.0,545.0
UMB,AMBALA CANT JN,157,171.33,158.0,137.2,0.0,579.0
DMO,DAMOH,157,170.64,147.0,84.67,9.0,454.0
UMR,UMARIA,157,165.43,144.0,83.51,19.0,451.0
MAKR,BINA MALKHEDI JN,157,163.31,136.0,89.1,13.0,525.0
BUH,BURHAR,157,161.85,140.0,80.16,32.0,460.0
PND,PENDRA ROAD,157,160.94,138.0,78.53,40.0,465.0
DAA,DATIA,157,159.9,127.0,94.59,1.0,502.0
SDL,SHAHDOL,157,159.85,137.0,81.62,23.0,453.0
LAR,LALITPUR,157,155.02,124.0,92.84,1.0,500.0
KMZ,KATNI MURWARA,157,154.96,131.0,84.55,0.0,445.0
APR,ANUPPUR JN,157,154.26,131.0,79.45,27.0,456.0
CTC,CUTTACK,365,152.16,112.0,138.06,18.0,933.0
BEAS,BEAS,157,145.37,133.0,134.23,0.0,592.0
JUC,JALANDHAR CITY,157,143.73,133.0,134.11,0.0,597.0
ASR,AMRITSAR JN,157,143.43,112.0,136.07,-26.0,579.0
SFY,SHAJAPUR,104,129.57,85.5,121.45,42.0,1082.0
KUR,KHURDA ROAD JN,519,127.71,89.0,135.94,0.0,942.0
AKT,AKALTARA,157,123.2,106.0,72.08,21.0,403.0
JJKR,JAJPUR K ROAD,365,121.23,81.0,130.88,1.0,839.0
BBS,BHUBANESWAR,519,119.66,83.0,130.95,0.0,936.0
PURI,PURI,365,118.32,66.0,154.18,-32.0,1060.0
CPH,CHAMPA,157,116.25,97.0,71.02,11.0,399.0
BDMJ,BHODWAL MAJRI,14,114.57,76.0,104.36,15.0,311.0
BHC,BHADRAKH,365,111.44,72.0,128.97,0.0,759.0
BSP,BILASPUR JN,157,109.94,88.0,72.63,1.0,386.0
HIJ,HIJILLI,365,109.75,75.0,122.35,0.0,682.0
SKT,SAKTI,157,109.72,93.0,71.04,11.0,403.0
BLS,BALASORE,365,107.67,70.0,126.6,0.0,751.0
SFW,SARANGPUR,57,106.25,56.0,156.15,16.0,1057.0
KWV,KURDUVADI,365,104.96,62.0,133.01,6.0,1073.0
KLBG,KALABURAGI JN,365,103.94,60.0,135.96,0.0,1099.0
NZM,H NIZAMUDDIN,260,103.78,52.5,129.67,0.0,978.0
KHS,KHARSIA,157,103.6,88.0,70.7,9.0,396.0
GTS,GHATSILA,365,102.14,65.0,121.28,0.0,698.0
PFR,PACHOR ROAD,104,98.76,53.0,125.04,4.0,1034.0
TATA,TATANAGAR JN,365,90.41,56.0,116.37,0.0,678.0
BRRG,BIYAVRA RAJGARH,104,90.01,44.5,125.19,0.0,1024.0
SUR,SOLAPUR JN,365,88.9,45.0,135.03,0.0,1060.0
JSGR,JHARSUGUDA ROAD,157,85.92,62.0,133.96,0.0,1545.0
PNME,PARASNATH,365,85.51,48.0,108.97,1.0,637.0
RIG,RAIGARH,157,84.86,65.0,70.67,0.0,381.0
DD,DAUND JN,365,84.61,40.0,133.7,0.0,1045.0
KHRJ,KUMBHRAJ,104,80.83,33.5,124.57,1.0,1017.0
MALM,MANTHRALAYAM RD,365,79.82,35.0,135.75,0.0,1044.0
ANG,AHMADNAGAR,365,79.38,36.0,128.9,0.0,982.0
BAP,BELAPUR,365,79.13,38.0,124.87,0.0,978.0
HZD,HAZARIBAGH RD,365,78.12,40.0,108.55,0.0,633.0
RTA,RUTHIYAI,104,77.59,32.5,122.31,0.0,1003.0
AD,ADONI,365,77.32,33.0,135.83,0.0,1040.0
YG,YADGIR,365,77.11,29.0,134.58,0.0,1042.0
HUP,HINDUPUR,365,77.05,35.0,127.49,0.0,1003.0
RC,RAICHUR,365,76.69,31.0,135.73,0.0,1039.0
SRO,SIRATHU,365,76.64,38.0,112.26,2.0,687.0
BNC,BANGALORE CANT,365,76.04,42.0,120.69,0.0,1025.0
ATP,ANANTAPUR,365,75.97,33.0,131.71,0.0,1028.0
MTJ,MATHURA JN,625,75.93,35.0,111.78,0.0,1009.0
GTL,GUNTAKAL JN,365,75.52,31.0,132.69,0.0,1032.0
GUNA,GUNA,104,75.24,30.5,122.65,0.0,1015.0
AGC,AGRA CANTT,626,74.95,32.0,114.59,0.0,1006.0
CRP,CHANDRAPURA,365,74.62,37.0,108.02,0.0,612.0
DGR,DURGAPUR,365,74.59,27.0,173.47,0.0,1142.0
MMR,MANMAD JN,365,74.19,35.0,123.49,0.0,955.0
GMO,NSC BOSE J GOMO,365,74.16,38.0,108.24,0.0,618.0
WADI,WADI,365,73.42,24.0,135.45,0.0,1070.0
FTP,FATEHPUR,730,72.24,37.0,106.19,0.0,683.0
VGLJ,V LAKSHMIBAI JHANSI,522,72.24,14.0,119.91,0.0,936.0
BPH,BELPAHAR,157,70.6,56.0,65.1,1.0,377.0
BKSC,BOKARO STL CITY,365,69.89,33.0,108.2,0.0,603.0
ASN,ASANSOL JN,365,69.72,22.0,173.66,6.0,1141.0
PKD,PENUKONDA,365,69.61,26.0,128.36,0.0,1033.0
RAIR,RAIRAKHOL,154,68.23,55.0,55.49,9.0,384.0
SSPN,SAI P NILAYAM,365,67.78,24.0,128.14,0.0,1001.0
KQR,KODERMA,365,67.74,27.0,109.43,0.0,627.0
YNK,YELHANKA JN,365,67.53,27.0,128.63,0.0,1036.0
BBM,BARABHUM,365,67.11,30.0,105.62,0.0,603.0
SBP,SAMBALPUR,156,66.9,55.0,57.83,0.0,389.0
KPG,KOPARGAON,365,66.88,27.0,123.53,0.0,946.0
GWL,GWALIOR,626,66.56,17.0,115.45,0.0,988.0
BRJN,BRAJRAJNAGAR,157,65.85,52.0,64.36,0.0,373.0
JL,JALGAON JN,365,65.11,28.0,122.85,0.0,938.0
SVPI,SHIVPURI,104,64.13,22.0,118.99,0.0,982.0
RKM,RAJA KI MANDI,103,63.26,35.0,106.95,0.0,1014.0
CNI,CHANDIL JN,365,61.59,23.0,105.16,0.0,591.0
DBR,DABHAURA,365,60.99,17.0,118.01,0.0,693.0
PRR,PURULIA JN,365,60.78,25.0,105.6,0.0,594.0
DMM,DHARMAVARAM JN,365,59.54,13.0,130.36,0.0,1026.0
JTW,JAITWAR,365,59.42,14.0,117.13,0.0,683.0
ANGL,ANGUL,154,59.4,48.0,54.94,0.0,374.0
BAU,BURHANPUR,365,59.36,19.0,120.51,0.0,915.0
CAR,CHUNAR,365,59.22,22.0,109.17,0.0,626.0
AUBR,ANUGRAHA N ROAD,365,58.81,19.0,110.78,1.0,637.0
STA,SATNA,365,58.73,13.0,119.46,0.0,672.0
GAYA,GAYA JN,730,58.45,14.0,145.0,0.0,1126.0
BSL,BHUSAVAL JN,365,58.39,19.0,122.0,0.0,927.0
CNB,KANPUR CENTRAL,730,58.0,21.0,130.91,0.0,1004.0
SRJ,SHANKARGARH,365,57.61,14.0,116.21,0.0,689.0
DOS,DEHRI ON SONE,365,57.15,18.0,109.88,1.0,637.0
JJK,JHINJHAK,365,56.22,26.0,93.91,0.0,652.0
MZP,MIRZAPUR,365,55.48,19.0,107.7,0.0,602.0
DWX,DEWAS,104,54.4,15.0,113.38,0.0,983.0
UJN,UJJAIN JN,104,53.88,15.0,113.25,0.0,980.0
PRYJ,PRAYAGRAJ JN,730,53.76,14.0,109.41,0.0,673.0
TLHR,TALCHER,154,53.71,37.5,55.69,0.0,369.0
PRP,PAHARPUR,365,53.68,12.0,110.45,0.0,626.0
SSM,SASARAM,365,53.13,14.0,109.82,0.0,636.0
DHN,DHANBAD JN,365,53.06,4.0,173.1,0.0,1121.0
SDAH,SEALDAH,365,52.3,3.0,175.38,-19.0,1127.0
BBU,BHABUA ROAD,365,51.52,12.0,109.72,0.0,639.0
GOY,GOVINDPURI,365,50.09,17.0,96.78,0.0,593.0
KNW,KHANDWA,365,48.33,3.0,122.1,0.0,910.0
DHO,DHAULPUR,104,48.33,16.0,109.78,0.0,1001.0
MKP,MANIKPUR JN,365,46.95,1.0,114.64,0.0,666.0
BAO,BANMOR,104,46.2,12.5,109.77,0.0,991.0
BPL,BHOPAL JN,365,46.07,10.0,121.2,0.0,933.0
DDU,PT DEEN DAYAL UPADHYAY JN,730,45.81,1.0,142.69,0.0,1121.0
MRA,MORENA,104,45.28,13.5,109.82,0.0,993.0
ET,ITARSI JN,365,43.46,5.0,120.29,0.0,906.0
MKC,MAKSI,104,42.54,1.0,113.29,0.0,977.0
KSV,KOSI KALAN,103,41.63,12.0,107.94,0.0,999.0
DNKL,DHENKANAL,154,40.6,29.0,48.77,0.0,338.0
REWA,REWA,365,38.17,-7.0,119.39,-26.0,635.0
BINA,BINA JN,365,37.63,4.0,117.23,0.0,919.0
FDB,FARIDABAD,103,37.2,10.0,106.69,0.0,1003.0
ALJN,ALIGARH JN,365,36.73,21.0,52.52,0.0,514.0
BALU,BALUGAN,154,36.57,23.0,44.81,0.0,304.0
BVI,BORIVALI,364,33.89,20.0,100.07,0.0,1247.0
SBC,KSR BANGALORE CY JN,365,33.81,-3.0,122.57,-52.0,1016.0
BDL,VINDHYACHAL,10,32.0,15.5,53.26,2.0,181.0
NQR,NARAJ MARTHAPUR,154,31.58,16.0,48.23,0.0,334.0
VZM,VIZIANAGRAM JN,157,30.71,21.0,38.86,0.0,283.0
CAP,CHATRAPUR,154,30.56,18.0,43.37,0.0,306.0
CHE,SRIKAKULAM ROAD,154,30.46,19.0,42.54,0.0,280.0
BAM,BRAHMAPUR,154,27.82,15.0,43.83,0.0,306.0
MTC,MEERUT CITY,104,26.52,9.5,100.38,0.0,959.0
NDLS,NEW DELHI,1616,26.3,1.0,87.37,0.0,864.0
MOZ,MUZAFFARNAGAR,104,21.06,4.0,100.13,0.0,963.0
DBD,DEOBAND,104,20.8,3.0,100.6,0.0,968.0
KLRS,KOLARAS,4,20.75,21.5,18.46,0.0,40.0
GZB,GHAZIABAD,468,18.41,6.0,57.11,0.0,959.0
RK,ROORKEE,104,18.19,3.0,99.64,0.0,959.0
KOTA,KOTA JN,364,17.54,12.0,47.08,0.0,789.0
MMCT,MUMBAI CENTRAL,364,17.42,3.0,100.13,-9.0,1222.0
AII,AJMER JN,365,16.8,12.0,18.53,0.0,135.0
PSA,PALASA,154,16.6,2.0,40.35,0.0,268.0
JWP,JWALAPUR,4,16.5,12.5,11.27,8.0,33.0
RTM,RATLAM JN,364,16.18,10.0,49.92,0.0,802.0
SRE,SAHARANPUR,104,16.03,0.0,99.63,0.0,960.0
JP,JAIPUR,365,15.89,13.0,14.39,0.0,114.0
HW,HARIDWAR JN,104,15.82,1.0,99.86,0.0,964.0
FA,FALNA,365,15.62,10.0,19.53,0.0,129.0
VSKP,VISAKHAPATNAM,157,15.31,4.0,37.97,0.0,279.0
ST,SURAT,364,15.1,5.0,59.49,0.0,846.0
BRC,VADODARA JN,364,14.1,5.0,54.64,0.0,834.0
LMNR,LAKSHMIBAI NGR,104,14.01,-26.5,114.07,-47.0,935.0
YNRK,YOGNAGARI RISHIKESH,104,13.97,0.0,102.39,0.0,1000.0
ABR,ABU ROAD,365,13.53,7.0,19.07,0.0,122.0
NAD,NAGDA JN,364,13.01,5.0,49.06,0.0,791.0
MOTC,MOTICHUR,4,12.0,11.5,4.69,7.0,18.0
RWL,RAIWALA,4,9.75,8.5,7.63,3.0,19.0
MSH,MAHESANA JN,365,8.26,2.0,15.08,0.0,105.0
GGN,GURGAON,365,6.88,5.0,8.65,0.0,98.0
PNU,PALANPUR JN,365,6.68,0.0,15.57,0.0,103.0
ANVT,ANAND VIHAR TRM,730,5.72,0.0,25.49,0.0,304.0
DEC,DELHI CANTT,365,4.33,2.0,8.31,0.0,95.0
SBIB,SABARMATI BG,365,-18.31,-22.0,16.43,-40.0,79.0
RGDA,RAYAGADA,0,,,,,
TIG,TITLAGARH,0,,,,,
