station_sequence,observations,mean,median,std,min,max
0,2450,9.96,1.0,58.5,0.0,1000.0
1,2450,62.12,16.0,124.05,-32.0,1099.0
2,2450,66.06,12.0,128.62,0.0,1121.0
3,2450,70.21,19.0,126.55,0.0,1126.0
4,2350,68.44,17.0,126.96,0.0,1121.0
5,2450,67.62,21.0,124.13,0.0,1141.0
6,2450,70.67,25.0,127.23,0.0,1247.0
7,2450,61.18,11.0,127.6,-19.0,1222.0
8,1721,77.09,36.0,114.39,0.0,1028.0
9,1674,62.63,27.0,114.26,-40.0,1057.0
10,1356,78.9,33.0,114.53,0.0,1082.0
11,1356,69.81,30.0,104.89,0.0,1003.0
12,1356,60.94,19.0,107.12,0.0,1036.0
13,1356,82.02,40.0,116.78,0.0,1025.0
14,991,66.04,25.0,123.91,-52.0,1016.0
15,991,85.97,39.0,126.07,0.0,1034.0
16,848,96.96,59.0,126.06,0.0,1073.0
17,991,95.47,43.0,129.78,0.0,1032.0
18,990,94.54,47.0,125.65,0.0,1014.0
19,991,92.57,43.0,126.79,0.0,1045.0
20,891,63.98,27.0,112.01,0.0,923.0
21,636,64.71,24.0,119.42,0.0,964.0
22,891,62.48,17.0,118.02,-26.0,915.0
23,991,61.21,16.0,117.0,0.0,959.0
24,991,59.85,7.0,117.4,0.0,960.0
25,991,61.63,14.0,114.12,0.0,968.0
26,891,58.93,12.0,111.37,0.0,919.0
27,991,63.11,21.0,110.29,0.0,959.0
28,987,50.86,18.0,107.36,0.0,959.0
29,987,50.31,16.0,108.92,0.0,978.0
30,987,55.51,20.0,109.06,0.0,1003.0
31,987,58.9,24.0,108.44,0.0,999.0
32,987,60.12,25.0,109.37,0.0,1009.0
33,623,43.73,7.0,105.38,0.0,963.0
34,154,39.94,25.0,49.28,0.0,345.0
35,154,31.58,16.0,48.23,0.0,334.0
36,154,40.6,29.0,48.77,0.0,338.0
37,154,53.71,37.5,55.69,0.0,369.0
38,154,59.4,48.0,54.94,0.0,374.0
39,157,30.71,21.0,38.86,0.0,283.0
40,0,,,,,
41,0,,,,,
42,156,66.9,55.0,57.83,0.0,389.0
43,157,85.92,62.0,133.96,0.0,1545.0
44,157,65.85,52.0,64.36,0.0,373.0
45,157,70.6,56.0,65.1,1.0,377.0
46,157,84.86,65.0,70.67,0.0,381.0
47,157,103.6,88.0,70.7,9.0,396.0
48,157,109.72,93.0,71.04,11.0,403.0
49,157,116.25,97.0,71.02,11.0,399.0
50,154,68.23,55.0,55.49,9.0,384.0
