,missing_count,missing_pct
section_distance,5791,11.45
previous_distance,5477,10.82
delay_change,4867,9.62
previous_delay,3757,7.43
distance,3391,6.7
previous_station,2451,4.84
delay,1310,2.59
journey_id,0,0.0
journey_progress,0,0.0
source_file,0,0.0
month,0,0.0
is_weekend,0,0.0
day_of_week,0,0.0
distance_usable,0,0.0
journey_station_count,0,0.0
route_completion,0,0.0
train_no,0,0.0
route_position,0,0.0
previous_delay_observed,0,0.0
delay_observed,0,0.0
station_name,0,0.0
station_code,0,0.0
station_sequence,0,0.0
date,0,0.0
route_id,0,0.0
total_stations,0,0.0
