,count,mean,std,min,25%,50%,75%,max
train_no,50598.0,14085.455531839203,2947.9957533325305,12314.0,12628.0,12802.0,12958.0,20807.0
station_sequence,50598.0,14.350053361792956,11.658132236894494,0.0,5.0,11.0,23.0,50.0
delay,49288.0,65.24005843207271,116.68142328716068,-52.0,6.0,22.0,71.0,1545.0
delay_observed,50598.0,0.9741096486027115,0.15880975899216743,0.0,1.0,1.0,1.0,1.0
previous_delay,46841.0,66.6016310497214,116.54676443965866,-52.0,7.0,23.0,74.0,1545.0
previous_delay_observed,50598.0,0.9257480532827385,0.26218305375589096,0.0,1.0,1.0,1.0,1.0
delay_change,45731.0,1.3195206752531106,41.44974830922581,-1464.0,-10.0,0.0,9.0,1494.0
route_position,50598.0,14.350053361792956,11.658132236894494,0.0,5.0,11.0,23.0,50.0
journey_station_count,50598.0,29.70010672358591,13.691519397413908,8.0,14.0,33.0,34.0,51.0
route_completion,50598.0,0.5,0.30343517385312513,0.0,0.24,0.5,0.76,1.0
distance,47207.0,1038.6573389539687,661.5475666375752,0.0,563.0,929.0,1463.0,2570.0
previous_distance,45121.0,1046.154584339886,672.5089895450709,0.0,558.0,956.0,1520.0,2570.0
section_distance,44807.0,38.138661369875244,359.1207849644414,-1379.0,-43.0,32.0,83.0,1843.0
day_of_week,50598.0,2.952468477014902,1.9317499166105683,0.0,1.0,3.0,5.0,6.0
is_weekend,50598.0,0.2741017431519032,0.44606491679926524,0.0,0.0,0.0,1.0,1.0
month,50598.0,6.530001185817621,3.449098086361567,1.0,4.0,7.0,10.0,12.0
journey_progress,50598.0,0.5,0.30343517385312513,0.0,0.24,0.5,0.76,1.0
total_stations,50598.0,29.70010672358591,13.691519397413908,8.0,14.0,33.0,34.0,51.0
