train_no,date,station_code,station_name,delay
12314,2025-09-05,NDLS,NEW DELHI,0.0
12314,2025-09-05,CNB,KANPUR CENTRAL,4.0
12314,2025-09-05,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-05,GAYA,GAYA JN,13.0
12314,2025-09-05,DHN,DHANBAD JN,2.0
12314,2025-09-05,ASN,ASANSOL JN,20.0
12314,2025-09-05,DGR,DURGAPUR,22.0
12314,2025-09-05,SDAH,SEALDAH,4.0
12314,2025-09-06,NDLS,NEW DELHI,2.0
12314,2025-09-06,CNB,KANPUR CENTRAL,16.0
12314,2025-09-06,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-06,GAYA,GAYA JN,7.0
12314,2025-09-06,DHN,DHANBAD JN,1.0
12314,2025-09-06,ASN,ASANSOL JN,18.0
12314,2025-09-06,DGR,DURGAPUR,24.0
12314,2025-09-06,SDAH,SEALDAH,-13.0
12314,2025-09-07,NDLS,NEW DELHI,0.0
12314,2025-09-07,CNB,KANPUR CENTRAL,12.0
12314,2025-09-07,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-07,GAYA,GAYA JN,10.0
12314,2025-09-07,DHN,DHANBAD JN,0.0
12314,2025-09-07,ASN,ASANSOL JN,22.0
12314,2025-09-07,DGR,DURGAPUR,22.0
12314,2025-09-07,SDAH,SEALDAH,6.0
12314,2025-09-08,NDLS,NEW DELHI,1.0
12314,2025-09-08,CNB,KANPUR CENTRAL,10.0
12314,2025-09-08,DDU,PT DEEN DAYAL UPADHYAY JN,7.0
12314,2025-09-08,GAYA,GAYA JN,18.0
12314,2025-09-08,DHN,DHANBAD JN,5.0
12314,2025-09-08,ASN,ASANSOL JN,16.0
12314,2025-09-08,DGR,DURGAPUR,17.0
12314,2025-09-08,SDAH,SEALDAH,-2.0
12314,2025-09-09,NDLS,NEW DELHI,0.0
12314,2025-09-09,CNB,KANPUR CENTRAL,8.0
12314,2025-09-09,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-09,GAYA,GAYA JN,13.0
12314,2025-09-09,DHN,DHANBAD JN,4.0
12314,2025-09-09,ASN,ASANSOL JN,22.0
12314,2025-09-09,DGR,DURGAPUR,22.0
12314,2025-09-09,SDAH,SEALDAH,3.0
12314,2025-09-10,NDLS,NEW DELHI,0.0
12314,2025-09-10,CNB,KANPUR CENTRAL,1.0
12314,2025-09-10,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-10,GAYA,GAYA JN,8.0
12314,2025-09-10,DHN,DHANBAD JN,0.0
12314,2025-09-10,ASN,ASANSOL JN,12.0
12314,2025-09-10,DGR,DURGAPUR,19.0
12314,2025-09-10,SDAH,SEALDAH,-2.0
12314,2025-09-11,NDLS,NEW DELHI,0.0
12314,2025-09-11,CNB,KANPUR CENTRAL,3.0
12314,2025-09-11,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-11,GAYA,GAYA JN,13.0
12314,2025-09-11,DHN,DHANBAD JN,10.0
12314,2025-09-11,ASN,ASANSOL JN,25.0
12314,2025-09-11,DGR,DURGAPUR,26.0
12314,2025-09-11,SDAH,SEALDAH,0.0
12314,2025-09-12,NDLS,NEW DELHI,0.0
12314,2025-09-12,CNB,KANPUR CENTRAL,1.0
12314,2025-09-12,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-12,GAYA,GAYA JN,6.0
12314,2025-09-12,DHN,DHANBAD JN,2.0
12314,2025-09-12,ASN,ASANSOL JN,18.0
12314,2025-09-12,DGR,DURGAPUR,20.0
