train_no,date,station_code,station_name,delay,distance
12802,2025-09-06,ANVT,ANAND VIHAR TRM,5.0,0
12802,2025-09-06,GOY,GOVINDPURI,25.0,424
12802,2025-09-06,FTP,FATEHPUR,61.0,504
12802,2025-09-06,PRYJ,PRAYAGRAJ JN,13.0,621
12802,2025-09-06,BDL,VINDHYACHAL,,702
12802,2025-09-06,MZP,MIRZAPUR,13.0,710
12802,2025-09-06,CAR,CHUNAR,22.0,741
12802,2025-09-06,DDU,PT DEEN DAYAL UPADHYAY JN,9.0,773
12802,2025-09-06,BBU,BHABUA ROAD,14.0,826
12802,2025-09-06,SSM,SASARAM,13.0,873
12802,2025-09-06,DOS,DEHRI ON SONE,15.0,891
12802,2025-09-06,AUBR,ANUGRAHA N ROAD,15.0,908
12802,2025-09-06,GAYA,GAYA JN,4.0,976
12802,2025-09-06,PRP,PAHARPUR,4.0,1008
12802,2025-09-06,KQR,KODERMA,15.0,1052
12802,2025-09-06,HZD,HAZARIBAGH RD,28.0,1101
12802,2025-09-06,PNME,PARASNATH,25.0,1128
12802,2025-09-06,GMO,NSC BOSE J GOMO,14.0,1146
12802,2025-09-06,CRP,CHANDRAPURA,4.0,1163
12802,2025-09-06,BKSC,BOKARO STL CITY,13.0,1178
12802,2025-09-06,PRR,PURULIA JN,3.0,1239
12802,2025-09-06,BBM,BARABHUM,13.0,1270
12802,2025-09-06,CNI,CHANDIL JN,3.0,1293
12802,2025-09-06,TATA,TATANAGAR JN,0.0,1329
12802,2025-09-06,GTS,GHATSILA,56.0,1365
12802,2025-09-06,HIJ,HIJILLI,67.0,1463
12802,2025-09-06,BLS,BALASORE,36.0,1575
12802,2025-09-06,BHC,BHADRAKH,38.0,1637
12802,2025-09-06,JJKR,JAJPUR K ROAD,52.0,1681
12802,2025-09-06,CTC,CUTTACK,59.0,1753
12802,2025-09-06,BBS,BHUBANESWAR,49.0,1781
12802,2025-09-06,KUR,KHURDA ROAD JN,45.0,1800
12802,2025-09-06,PURI,PURI,-3.0,1843
12802,2025-09-07,ANVT,ANAND VIHAR TRM,0.0,0
12802,2025-09-07,GOY,GOVINDPURI,20.0,424
12802,2025-09-07,FTP,FATEHPUR,47.0,504
12802,2025-09-07,PRYJ,PRAYAGRAJ JN,0.0,621
12802,2025-09-07,BDL,VINDHYACHAL,,702
12802,2025-09-07,MZP,MIRZAPUR,5.0,710
12802,2025-09-07,CAR,CHUNAR,8.0,741
12802,2025-09-07,DDU,PT DEEN DAYAL UPADHYAY JN,0.0,773
12802,2025-09-07,BBU,BHABUA ROAD,4.0,826
12802,2025-09-07,SSM,SASARAM,2.0,873
12802,2025-09-07,DOS,DEHRI ON SONE,10.0,891
12802,2025-09-07,AUBR,ANUGRAHA N ROAD,8.0,908
12802,2025-09-07,GAYA,GAYA JN,0.0,976
12802,2025-09-07,PRP,PAHARPUR,0.0,1008
12802,2025-09-07,KQR,KODERMA,7.0,1052
12802,2025-09-07,HZD,HAZARIBAGH RD,19.0,1101
12802,2025-09-07,PNME,PARASNATH,21.0,1128
12802,2025-09-07,GMO,NSC BOSE J GOMO,1.0,1146
