train_no,date,station_code,station_name,delay,DISTANCE
20807,9/5/2025,VSKP,VISAKHAPATNAM,0,0
20807,9/5/2025,VZM,VIZIANAGRAM JN,21,61
20807,9/5/2025,CHE,SRIKAKULAM ROAD,21,131
20807,9/5/2025,PSA,PALASA,1,203
20807,9/5/2025,BAM,BRAHMAPUR,18,277
20807,9/5/2025,CAP,CHATRAPUR,16,299
20807,9/5/2025,BALU,BALUGAN,15,353
20807,9/5/2025,KUR,KHURDA ROAD JN,14,424
20807,9/5/2025,BBS,BHUBANESWAR,0,443
20807,9/5/2025,NQR,NARAJ MARTHAPUR,0,468
20807,9/5/2025,DNKL,DHENKANAL,13,505
20807,9/5/2025,TLHR,TALCHER,33,558
20807,9/5/2025,ANGL,ANGUL,31,576
20807,9/5/2025,RAIR,RAIRAKHOL,33,661
20807,9/5/2025,RGDA,RAYAGADA,,
20807,9/5/2025,TIG,TITLAGARH,,
20807,9/5/2025,SBP,SAMBALPUR,44,732
20807,9/5/2025,JSGR,JHARSUGUDA ROAD,40,779
20807,9/5/2025,BRJN,BRAJRAJNAGAR,35,790
20807,9/5/2025,BPH,BELPAHAR,42,799
20807,9/5/2025,RIG,RAIGARH,55,850
20807,9/5/2025,KHS,KHARSIA,77,884
20807,9/5/2025,SKT,SAKTI,78,900
20807,9/5/2025,CPH,CHAMPA,86,930
20807,9/5/2025,AKT,AKALTARA,86,956
20807,9/5/2025,BSP,BILASPUR JN,68,983
20807,9/5/2025,PND,PENDRA ROAD,78,1086
20807,9/5/2025,APR,ANUPPUR JN,80,1136
20807,9/5/2025,BUH,BURHAR,82,1157
20807,9/5/2025,SDL,SHAHDOL,87,1177
20807,9/5/2025,UMR,UMARIA,88,1244
20807,9/5/2025,KMZ,KATNI MURWARA,92,1302
20807,9/5/2025,DMO,DAMOH,105,1411
20807,9/5/2025,SGO,SAUGOR,111,1489
20807,9/5/2025,KYE,KHURAI,101,1542
20807,9/5/2025,MAKR,BINA MALKHEDI JN,85,1560
20807,9/5/2025,LAR,LALITPUR,86,1622
20807,9/5/2025,VGLJ,V LAKSHMIBAI JHANSI,86,1712
20807,9/5/2025,DAA,DATIA,86,1737
20807,9/5/2025,GWL,GWALIOR,70,1809
20807,9/5/2025,AGC,AGRA CANTT,49,1928
20807,9/5/2025,MTJ,MATHURA JN,43,1982
20807,9/5/2025,NZM,H NIZAMUDDIN,14,2115
20807,9/5/2025,NDLS,NEW DELHI,33,2122
20807,9/5/2025,BDMJ,BHODWAL MAJRI,,
20807,9/5/2025,PNP,PANIPAT JN,28,2212
20807,9/5/2025,UMB,AMBALA CANT JN,1,2320
20807,9/5/2025,LDH,LUDHIANA JN,35,2434
20807,9/5/2025,JUC,JALANDHAR CITY,0,2491
20807,9/5/2025,BEAS,BEAS,2,2527
20807,9/5/2025,ASR,AMRITSAR JN,-2,2570
20807,9/6/2025,VSKP,VISAKHAPATNAM,10,0
20807,9/6/2025,VZM,VIZIANAGRAM JN,26,61
20807,9/6/2025,CHE,SRIKAKULAM ROAD,29,131
20807,9/6/2025,PSA,PALASA,7,203
20807,9/6/2025,BAM,BRAHMAPUR,22,277
20807,9/6/2025,CAP,CHATRAPUR,21,299
20807,9/6/2025,BALU,BALUGAN,24,353
20807,9/6/2025,KUR,KHURDA ROAD JN,39,424
20807,9/6/2025,BBS,BHUBANESWAR,22,443
20807,9/6/2025,NQR,NARAJ MARTHAPUR,8,468
20807,9/6/2025,DNKL,DHENKANAL,16,505
20807,9/6/2025,TLHR,TALCHER,16,558
20807,9/6/2025,ANGL,ANGUL,18,576
20807,9/6/2025,RAIR,RAIRAKHOL,20,661
20807,9/6/2025,RGDA,RAYAGADA,,
20807,9/6/2025,TIG,TITLAGARH,,
20807,9/6/2025,SBP,SAMBALPUR,18,732
20807,9/6/2025,JSGR,JHARSUGUDA ROAD,20,779
20807,9/6/2025,BRJN,BRAJRAJNAGAR,3,790
20807,9/6/2025,BPH,BELPAHAR,4,799
20807,9/6/2025,RIG,RAIGARH,43,850
20807,9/6/2025,KHS,KHARSIA,61,884
20807,9/6/2025,SKT,SAKTI,64,900
20807,9/6/2025,CPH,CHAMPA,66,930
20807,9/6/2025,AKT,AKALTARA,62,956
20807,9/6/2025,BSP,BILASPUR JN,58,983
20807,9/6/2025,PND,PENDRA ROAD,101,1086
20807,9/6/2025,APR,ANUPPUR JN,92,1136
20807,9/6/2025,BUH,BURHAR,100,1157
20807,9/6/2025,SDL,SHAHDOL,102,1177
20807,9/6/2025,UMR,UMARIA,108,1244
20807,9/6/2025,KMZ,KATNI MURWARA,99,1302
20807,9/6/2025,DMO,DAMOH,110,1411
20807,9/6/2025,SGO,SAUGOR,113,1489
20807,9/6/2025,KYE,KHURAI,107,1542
20807,9/6/2025,MAKR,BINA MALKHEDI JN,85,1560
20807,9/6/2025,LAR,LALITPUR,74,1622
20807,9/6/2025,VGLJ,V LAKSHMIBAI JHANSI,63,1712
20807,9/6/2025,DAA,DATIA,61,1737
20807,9/6/2025,GWL,GWALIOR,63,1809
20807,9/6/2025,AGC,AGRA CANTT,48,1928
20807,9/6/2025,MTJ,MATHURA JN,44,1982
20807,9/6/2025,NZM,H NIZAMUDDIN,15,2115
20807,9/6/2025,NDLS,NEW DELHI,10,2122
20807,9/6/2025,BDMJ,BHODWAL MAJRI,,
20807,9/6/2025,PNP,PANIPAT JN,25,2212
20807,9/6/2025,UMB,AMBALA CANT JN,4,2320
20807,9/6/2025,LDH,LUDHIANA JN,48,2434
20807,9/6/2025,JUC,JALANDHAR CITY,0,2491
20807,9/6/2025,BEAS,BEAS,2,2527
20807,9/6/2025,ASR,AMRITSAR JN,30,2570
20807,9/9/2025,VSKP,VISAKHAPATNAM,22,0
20807,9/9/2025,VZM,VIZIANAGRAM JN,18,61
20807,9/9/2025,CHE,SRIKAKULAM ROAD,18,131
20807,9/9/2025,PSA,PALASA,0,203
20807,9/9/2025,BAM,BRAHMAPUR,10,277
20807,9/9/2025,CAP,CHATRAPUR,7,299
20807,9/9/2025,BALU,BALUGAN,11,353
20807,9/9/2025,KUR,KHURDA ROAD JN,5,424
20807,9/9/2025,BBS,BHUBANESWAR,0,443
20807,9/9/2025,NQR,NARAJ MARTHAPUR,0,468
20807,9/9/2025,DNKL,DHENKANAL,22,505
20807,9/9/2025,TLHR,TALCHER,33,558
20807,9/9/2025,ANGL,ANGUL,28,576
20807,9/9/2025,RAIR,RAIRAKHOL,29,661
20807,9/9/2025,RGDA,RAYAGADA,,
20807,9/9/2025,TIG,TITLAGARH,,
20807,9/9/2025,SBP,SAMBALPUR,7,732
20807,9/9/2025,JSGR,JHARSUGUDA ROAD,15,779
20807,9/9/2025,BRJN,BRAJRAJNAGAR,1,790
20807,9/9/2025,BPH,BELPAHAR,4,799
20807,9/9/2025,RIG,RAIGARH,41,850
20807,9/9/2025,KHS,KHARSIA,55,884
20807,9/9/2025,SKT,SAKTI,69,900
20807,9/9/2025,CPH,CHAMPA,71,930
20807,9/9/2025,AKT,AKALTARA,72,956
20807,9/9/2025,BSP,BILASPUR JN,98,983
20807,9/9/2025,PND,PENDRA ROAD,275,1086
20807,9/9/2025,APR,ANUPPUR JN,259,1136
20807,9/9/2025,BUH,BURHAR,263,1157
20807,9/9/2025,SDL,SHAHDOL,257,1177
20807,9/9/2025,UMR,UMARIA,254,1244
20807,9/9/2025,KMZ,KATNI MURWARA,261,1302
20807,9/9/2025,DMO,DAMOH,293,1411
20807,9/9/2025,SGO,SAUGOR,298,1489
20807,9/9/2025,KYE,KHURAI,286,1542
20807,9/9/2025,MAKR,BINA MALKHEDI JN,266,1560
20807,9/9/2025,LAR,LALITPUR,246,1622
20807,9/9/2025,VGLJ,V LAKSHMIBAI JHANSI,250,1712
20807,9/9/2025,DAA,DATIA,256,1737
20807,9/9/2025,GWL,GWALIOR,269,1809
20807,9/9/2025,AGC,AGRA CANTT,249,1928
20807,9/9/2025,MTJ,MATHURA JN,250,1982
20807,9/9/2025,NZM,H NIZAMUDDIN,291,2115
20807,9/9/2025,NDLS,NEW DELHI,288,2122
20807,9/9/2025,BDMJ,BHODWAL MAJRI,,
20807,9/9/2025,PNP,PANIPAT JN,291,2212
20807,9/9/2025,UMB,AMBALA CANT JN,239,2320
20807,9/9/2025,LDH,LUDHIANA JN,237,2434
20807,9/9/2025,JUC,JALANDHAR CITY,181,2491
20807,9/9/2025,BEAS,BEAS,180,2527
20807,9/9/2025,ASR,AMRITSAR JN,161,2570
20807,9/12/2025,VSKP,VISAKHAPATNAM,2,0
20807,9/12/2025,VZM,VIZIANAGRAM JN,27,61
20807,9/12/2025,CHE,SRIKAKULAM ROAD,24,131
20807,9/12/2025,PSA,PALASA,7,203
20807,9/12/2025,BAM,BRAHMAPUR,15,277
20807,9/12/2025,CAP,CHATRAPUR,15,299
20807,9/12/2025,BALU,BALUGAN,18,353
20807,9/12/2025,KUR,KHURDA ROAD JN,9,424
20807,9/12/2025,BBS,BHUBANESWAR,1,443
20807,9/12/2025,NQR,NARAJ MARTHAPUR,0,468
20807,9/12/2025,DNKL,DHENKANAL,20,505
20807,9/12/2025,TLHR,TALCHER,1,558
20807,9/12/2025,ANGL,ANGUL,12,576
20807,9/12/2025,RAIR,RAIRAKHOL,11,661
20807,9/12/2025,RGDA,RAYAGADA,,
20807,9/12/2025,TIG,TITLAGARH,,
20807,9/12/2025,SBP,SAMBALPUR,3,732
20807,9/12/2025,JSGR,JHARSUGUDA ROAD,0,779
20807,9/12/2025,BRJN,BRAJRAJNAGAR,0,790
20807,9/12/2025,BPH,BELPAHAR,15,799
20807,9/12/2025,RIG,RAIGARH,61,850
20807,9/12/2025,KHS,KHARSIA,65,884
20807,9/12/2025,SKT,SAKTI,68,900
20807,9/12/2025,CPH,CHAMPA,69,930
20807,9/12/2025,AKT,AKALTARA,65,956
20807,9/12/2025,BSP,BILASPUR JN,55,983
20807,9/12/2025,PND,PENDRA ROAD,98,1086
